,ct_0,ct_1,ct_2,ct_3,ct_4,ct_5,ct_6,ct_7,ct_8,ct_9,ct_10,ct_11,ct_12,ct_13,ct_14,ct_15,ct_16,ct_17,ct_18,ct_19,ct_20,ct_21,ct_22,ct_23,ct_24,ct_25,ct_26,ct_27,ct_28,ct_29,ct_30,ct_31,ct_32,ct_33,ct_34
21,0.104827668158637,0.0,0.244422686275311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129429371501644,0.190878847274391,0.101865632262513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127725537623479,0.0,0.0,0.0,0.0,0.0,0.100850256904025,0.0,0.0,0.0
22,0.0,0.0,0.224155552287471,0.0,0.0,0.0,0.0,0.0752675145379164,0.0,0.0,0.0,0.0,0.0,0.0,0.0989923335944008,0.0,0.0,0.0,0.0765075458366913,0.0,0.0,0.306325576283666,0.10470648894891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114044988510944,0.0,0.0,0.0,0.0
23,0.0,0.0,0.30329941587146,0.0,0.0,0.0,0.154609921556898,0.0,0.0,0.0,0.0,0.0960545759730564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110389607296892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999819814209898,0.0,0.0,0.0,0.235664497880703
24,0.0,0.0,0.523184819940035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125190269716435,0.0,0.108345986675789,0.0,0.0,0.0,0.243278923667741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.339838480736204,0.0,0.0,0.0,0.0,0.0977332070963579,0.270854057182498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206152177681683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0854220773032577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0694646610786386,0.0,0.0,0.0,0.0,0.0,0.0578142559473585,0.0,0.0903630452972224,0.164691290301669,0.0,0.0,0.0,0.0,0.105555236478204,0.0835767757273594,0.0,0.0704824355090707,0.205536489943344,0.0,0.0,0.0,0.0,0.0,0.0,0.0659709518440676,0.0,0.0,0.0,0.0865448578730653,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.656302752083042,0.0,0.0,0.0,0.0934418075851064,0.0,0.0,0.0800376030482871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170217837283564,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.170679527359471,0.0,0.0,0.218446796558345,0.0,0.0,0.0,0.34324111993541,0.0,0.137335710843746,0.0640036675358469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662931777671812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15223070377074,0.164058060299702,0.252031896142335,0.0749846781308521,0.0846197838417382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967081182361211,0.101747234953165,0.0736195246253463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0955550610521181,0.0,0.0,0.0,0.0750104203367051,0.0,0.126329797871472,0.182162107292085,0.0855627035680001,0.173809108367511,0.0668361643229971,0.0,0.0,0.0,0.0,0.0,0.119545474595624,0.0,0.0,0.0,0.0,0.0,0.0,0.0751891625934878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
