,ct_0,ct_1,ct_2,ct_3,ct_4,ct_5,ct_6,ct_7,ct_8,ct_9,ct_10,ct_11,ct_12,ct_13,ct_14,ct_15,ct_16,ct_17,ct_18,ct_19,ct_20,ct_21,ct_22,ct_23,ct_24,ct_25,ct_26,ct_27,ct_28,ct_29,ct_30,ct_31,ct_32,ct_33,ct_34
10,0.0,0.0,0.0,0.0,0.0,0.0,0.219562342062718,0.0841982289348955,0.0,0.058882648483282,0.0,0.0,0.0,0.0,0.0823595222247255,0.0,0.0,0.0,0.0,0.0,0.0,0.05677318230689,0.092669047925604,0.0,0.0,0.264683977620504,0.0,0.0,0.0,0.0,0.140871050441381,0.0,0.0,0.0,0.0
11,0.0,0.0900201874521537,0.0,0.0,0.0,0.0,0.0,0.0693959374523291,0.0,0.0,0.0585270688593068,0.0,0.0,0.0,0.0,0.0,0.0,0.467278856163535,0.0,0.0,0.0,0.0,0.0812577021788231,0.0,0.0,0.0944954656207679,0.0,0.0,0.0,0.0,0.0,0.139024782273084,0.0,0.0,0.0
12,0.0,0.0,0.0,0.214346708594552,0.0,0.26692800147821,0.0,0.151285212663043,0.0,0.0,0.0,0.0,0.0,0.0,0.182130647788408,0.0,0.0,0.0,0.124132770857817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0611766586179701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.122474713508868,0.0,0.0676296086407289,0.169116843302737,0.0,0.0584695125060148,0.0,0.0,0.0,0.0,0.0,0.0,0.0941940943608399,0.0,0.0,0.0,0.137156093791058,0.0,0.0,0.0,0.290536844961393,0.0,0.0,0.06042228892836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.252044338976851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135509209365712,0.329933983661339,0.0,0.0885000864178409,0.100090853222176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0939215283560808,0.0,0.0,0.0,0.0
15,0.0,0.0,0.212620956147965,0.0,0.0,0.334763926242944,0.0,0.0,0.0778971537810037,0.0,0.0,0.111134967170625,0.0,0.0,0.0,0.152884604176594,0.0,0.0,0.0,0.0,0.0,0.0,0.110698392480868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.120758462831027,0.0,0.0892154541191447,0.0,0.0639064247472891,0.0,0.0686681254551185,0.0690525112763732,0.0,0.184399621417264,0.0,0.0,0.199126902016204,0.0,0.112199135061689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0926733630758906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0956385342253324,0.238040387522887,0.0,0.0,0.0,0.0,0.197761272583818,0.0,0.184910977693203,0.218810464152401,0.0,0.0,0.0648383638223594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0950403974950243,0.119170062326822,0.0,0.0,0.0,0.0,0.129172057402892,0.0,0.0,0.0,0.0,0.263593084277357,0.0,0.115851096265957,0.116937365347882,0.0,0.0,0.0,0.0683559847799415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0918799521041238,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.183240009481396,0.0,0.086178625202177,0.0,0.118615744266256,0.0,0.0,0.0,0.0,0.0,0.0,0.0613238133828061,0.237278825664797,0.0,0.0,0.0,0.0,0.0,0.162760880036879,0.150602101965688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0699806564519025,0.0,0.0,0.0709308694940638,0.0,0.0904231496304129,0.0,0.0,0.107156588106825,0.0,0.0,0.0872783200371968,0.0989162937530701,0.223807688751043,0.15212000416207,0.0,0.0,0.0,0.0,0.0,0.0,0.0993864296134164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
